Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Engine Size Clean,Engine Size Category,Horsepower (HP) Clean,Power Category,Price (in USD),Seats Clean,Efficiency Category,Price per HP,Price per Seat,Price per Engine Size,Price per Efficiency,Brand Type,Price per Brand Type HP,Price per Brand Type Engine Size
FERRARI,MONZA SP2,V12,"6,496 cc",789 hp,340 km/h,2.9 sec,"$1,700,000 ",Petrol,2,719 Nm,6496.0,Extra Large,789,Very High Power,1700000.0,2,Media,2154.6261089987324,850000.0,261.69950738916253,850000.0,Luxury,718.2087029995776,87.23316912972085
FERRARI,F8 SPIDER,V8,"3,900 cc",710 hp,340 km/h,2.9 sec,"$280,000 ",Petrol,2,770 Nm,3900.0,Extra Large,710,Very High Power,280000.0,2,Alta,394.36619718309856,140000.0,71.7948717948718,93333.33333333333,Luxury,131.45539906103286,23.931623931623932
FERRARI,PORTOFINO M,V8,"3,900 cc",612 hp,320 km/h,3.2 sec,"$220,000 ",Petrol,2+2,760 Nm,3900.0,Extra Large,612,Very High Power,220000.0,2,Alta,359.47712418300654,110000.0,56.41025641025641,73333.33333333333,Luxury,119.82570806100217,18.803418803418804
FERRARI,ROMA SPIDER,V8,"3,900 cc",612 hp,320 km/h,3.4 sec,"$240,000 ",Petrol,2+2,760 Nm,3900.0,Extra Large,612,Very High Power,240000.0,2,Alta,392.15686274509807,120000.0,61.53846153846154,80000.0,Luxury,130.718954248366,20.512820512820515
TOYOTA,GR SUPRA,I4,"2,998 cc",382 hp,250 km/h,4.1 sec,"$53,900 ",Petrol,2,500 Nm,2998.0,Extra Large,382,Very High Power,53900.0,2,Media,141.09947643979058,26950.0,17.978652434956636,26950.0,Mainstream,141.09947643979058,17.978652434956636
TOYOTA,TOYOTA 86,BOXER-4,"1,998 cc",205 hp,226 km/h,6.4 sec,"$27,000 ",Petrol,2+2,205 Nm,1998.0,Large,205,High Power,27000.0,2,Media,131.70731707317074,13500.0,13.513513513513514,13500.0,Mainstream,131.70731707317074,13.513513513513514
TOYOTA,TOYOTA  GR86,BOXER-4,"2,387 cc",228 hp,226 km/h,5.6 sec,"$30,000 ",Petrol,4,250 Nm,2387.0,Large,228,High Power,30000.0,4,Media,131.57894736842104,7500.0,12.568077084206116,15000.0,Mainstream,131.57894736842104,12.568077084206116
TOYOTA,TOYOTA LAND CRUISER,V8,"5,663 cc",381 hp,220 km/h,6.7 sec,"$85,000 ",Diesel,7,500 Nm,5663.0,Extra Large,381,Very High Power,85000.0,7,Media,223.0971128608924,12142.857142857143,15.009712166696097,42500.0,Mainstream,223.0971128608924,15.009712166696097
TOYOTA,TOYOTA SEQUOIA,V8,"5,663 cc",381 hp,200 km/h,6.9 sec,"$50,000 ",Petrol,7,651 Nm,5663.0,Extra Large,381,Very High Power,50000.0,7,Media,131.23359580052494,7142.857142857143,8.829242450997704,25000.0,Mainstream,131.23359580052494,8.829242450997704
NISSAN,GT-R,V6,"3,799 cc",600 hp,315 km/h,2.9 sec,"$113,000 ",Petrol,4,637 Nm,3799.0,Extra Large,600,Very High Power,113000.0,4,Alta,188.33333333333334,28250.0,29.74466964990787,37666.666666666664,Mainstream,188.33333333333334,29.74466964990787
NISSAN,370Z,V6,"3,696 cc",332 hp,250 km/h,4.7 sec,"$30,000 ",Petrol,2,366 Nm,3696.0,Extra Large,332,Very High Power,30000.0,2,Media,90.36144578313252,15000.0,8.116883116883116,15000.0,Mainstream,90.36144578313252,8.116883116883116
NISSAN,Z PROTO,V6,"2,998 cc",400 hp,290 km/h,4.1 sec,"$40,000 ",Petrol,2,475 Nm,2998.0,Extra Large,400,Very High Power,40000.0,2,Media,100.0,20000.0,13.3422281521014,20000.0,Mainstream,100.0,13.3422281521014
NISSAN,ALTIMA,I4,"2,488 cc",188 hp,225 km/h,7.3 sec,"$25,000 ",Petrol,5,380 Nm,2488.0,Large,188,Medium Power,25000.0,5,Media,132.9787234042553,5000.0,10.04823151125402,12500.0,Mainstream,132.9787234042553,10.04823151125402
NISSAN,MAXIMA,V6,"3,498 cc",300 hp,240 km/h,5.8 sec,"$35,000 ",Petrol,5,354 Nm,3498.0,Extra Large,300,Very High Power,35000.0,5,Media,116.66666666666667,7000.0,10.005717552887365,17500.0,Mainstream,116.66666666666667,10.005717552887365
NISSAN,SENTRA,I4,"1,998 cc",149 hp,200 km/h,8.2 sec,"$20,000 ",Petrol,5,240 Nm,1998.0,Large,149,Medium Power,20000.0,5,Media,134.2281879194631,4000.0,10.01001001001001,10000.0,Mainstream,134.2281879194631,10.01001001001001
NISSAN,ROGUE,I4,"2,488 cc",201 hp,200 km/h,7.5 sec,"$28,000 ",Petrol,5,270 Nm,2488.0,Large,201,High Power,28000.0,5,Media,139.30348258706468,5600.0,11.254019292604502,14000.0,Mainstream,139.30348258706468,11.254019292604502
NISSAN,PATHFINDER,V6,"3,498 cc",284 hp,225 km/h,6.5 sec,"$35,000 ",Petrol,7,351 Nm,3498.0,Extra Large,284,High Power,35000.0,7,Media,123.2394366197183,5000.0,10.005717552887365,17500.0,Mainstream,123.2394366197183,10.005717552887365
NISSAN,FRONTIER,V6,"3,799 cc",310 hp,180 km/h,6.8 sec,"$30,000 ",Petrol,5,381 Nm,3799.0,Extra Large,310,Very High Power,30000.0,5,Media,96.7741935483871,6000.0,7.896814951302974,15000.0,Mainstream,96.7741935483871,7.896814951302974
NISSAN,TITAN,V8,"5,598 cc",400 hp,200 km/h,5.9 sec,"$40,000 ",Petrol,5,560 Nm,5598.0,Extra Large,400,Very High Power,40000.0,5,Media,100.0,8000.0,7.145409074669525,20000.0,Mainstream,100.0,7.145409074669525
ASTON MARTIN,VALKYRIE,V12,"6,496 cc",1160 hp,402 km/h,2.5 sec,"$3,200,000 ",Hybrid,2,900 Nm,6496.0,Extra Large,1160,Very High Power,3200000.0,2,Alta,2758.6206896551726,1600000.0,492.61083743842363,1066666.6666666667,Luxury,919.5402298850574,164.20361247947454
ASTON MARTIN,VALHALLA,V8,"3,996 cc",1000 hp,362 km/h,2.5 sec,"$1,100,000 ",Hybrid,2,1000 Nm,3996.0,Extra Large,1000,Very High Power,1100000.0,2,Alta,1100.0,550000.0,275.27527527527525,366666.6666666667,Luxury,366.6666666666667,91.75842509175843
ASTON MARTIN,DBS SUPERLEGGERA,V12,"5,204 cc",715 hp,340 km/h,3.4 sec,"$316,000 ",Petrol,2,900 Nm,5204.0,Extra Large,715,Very High Power,316000.0,2,Media,441.958041958042,158000.0,60.72252113758647,158000.0,Luxury,147.31934731934732,20.24084037919549
ASTON MARTIN,DB11,V12,"5,204 cc",600 hp,322 km/h,3.9 sec,"$208,000 ",Petrol,4,700 Nm,5204.0,Extra Large,600,Very High Power,208000.0,4,Media,346.6666666666667,52000.0,39.96925441967717,104000.0,Luxury,115.55555555555556,13.323084806559057
ASTON MARTIN,VANTAGE ,V8,"3,996 cc",503 hp,313 km/h,3.6 sec,"$142,000 ",Petrol,2,685 Nm,3996.0,Extra Large,503,Very High Power,142000.0,2,Media,282.30616302186877,71000.0,35.53553553553554,71000.0,Luxury,94.10205434062293,11.845178511845178
ASTON MARTIN,DBX,V8,"3,996 cc",542 hp,291 km/h,4.5 sec,"$189,000 ",Petrol,5,700 Nm,3996.0,Extra Large,542,Very High Power,189000.0,5,Media,348.70848708487085,37800.0,47.2972972972973,94500.0,Luxury,116.23616236162361,15.765765765765765
ASTON MARTIN,RAPIDE AMR,V12,"5,935 cc",580 hp,328 km/h,4.2 sec,"$240,000 ",Petrol,4,630 Nm,5935.0,Extra Large,580,Very High Power,240000.0,4,Media,413.7931034482759,60000.0,40.438079191238415,120000.0,Luxury,137.93103448275863,13.479359730412805
ASTON MARTIN,VANQUISH,V12,"5,935 cc",580 hp,324 km/h,3.6 sec,"$294,000 ",Petrol,2,630 Nm,5935.0,Extra Large,580,Very High Power,294000.0,2,Media,506.8965517241379,147000.0,49.53664700926706,147000.0,Luxury,168.9655172413793,16.512215669755687
ASTON MARTIN,LAGONDA TARAF,V12,"5,935 cc",540 hp,314 km/h,4.2 sec,"$1,100,000 ",Petrol,4,630 Nm,5935.0,Extra Large,540,Very High Power,1100000.0,4,Media,2037.037037037037,275000.0,185.34119629317607,550000.0,Luxury,679.0123456790124,61.780398764392025
ASTON MARTIN,VICTOR,V12,"5,204 cc",836 hp,320 km/h,2.8 sec,"$1,300,000 ",Petrol,2,821 Nm,5204.0,Extra Large,836,Very High Power,1300000.0,2,Alta,1555.0239234449762,650000.0,249.80784012298233,433333.3333333333,Luxury,518.341307814992,83.2692800409941
LAMBORGHINI,SIAN,V12,"6,498 cc",819 hp,350 km/h,2.8 sec,"$2,800,000 ",Hybrid,2,720 Nm,6498.0,Extra Large,819,Very High Power,2800000.0,2,Media,3418.803418803419,1400000.0,430.9018159433672,1400000.0,Luxury,1139.6011396011395,143.63393864778905
LAMBORGHINI,AVENTADOR SVJ,V12,"6,498 cc",759 hp,350 km/h,2.8 sec,"$518,000 ",Petrol,2,720 Nm,6498.0,Extra Large,759,Very High Power,518000.0,2,Media,682.4769433465086,259000.0,79.71683594952293,259000.0,Luxury,227.4923144488362,26.572278649840978
LAMBORGHINI,HURACAN PERFORMANTE,V10,"5,204 cc",640 hp,325 km/h,2.9 sec,"$274,000 ",Petrol,2,600 Nm,5204.0,Extra Large,640,Very High Power,274000.0,2,Media,428.125,137000.0,52.651806302843966,137000.0,Luxury,142.70833333333334,17.550602100947987
LAMBORGHINI,HURACAN EVO,V10,"5,204 cc",640 hp,325 km/h,2.9 sec,"$261,000 ",Petrol,2,600 Nm,5204.0,Extra Large,640,Very High Power,261000.0,2,Media,407.8125,130500.0,50.15372790161414,130500.0,Luxury,135.9375,16.717909300538047
LAMBORGHINI,AVENTADOR SV,V12,"6,498 cc",740 hp,350 km/h,2.8 sec,"$493,000 ",Petrol,2,690 Nm,6498.0,Extra Large,740,Very High Power,493000.0,2,Media,666.2162162162163,246500.0,75.86949830717144,246500.0,Luxury,222.07207207207207,25.289832769057146
LAMBORGHINI,URUS ,V8,"3,996 cc",641 hp,305 km/h,3.6 sec,"$211,000 ",Petrol,5,850 Nm,3996.0,Extra Large,641,Very High Power,211000.0,5,Alta,329.1731669266771,42200.0,52.8028028028028,70333.33333333333,Luxury,109.72438897555902,17.600934267600934
LAMBORGHINI,HURACAN SPYDER,V10,"5,204 cc",610 hp,325 km/h,3.4 sec,"$287,000 ",Petrol,2,600 Nm,5204.0,Extra Large,610,Very High Power,287000.0,2,Media,470.4918032786885,143500.0,55.14988470407379,143500.0,Luxury,156.8306010928962,18.383294901357928
LAMBORGHINI,AVENTADOR ROADSTER,V12,"6,498 cc",700 hp,350 km/h,3.0 sec,"$445,000 ",Petrol,2,690 Nm,6498.0,Extra Large,700,Very High Power,445000.0,2,Media,635.7142857142857,222500.0,68.48261003385657,222500.0,Luxury,211.9047619047619,22.82753667795219
LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,V10,"5,204 cc",640 hp,325 km/h,3.1 sec,"$308,000 ",Petrol,2,600 Nm,5204.0,Extra Large,640,Very High Power,308000.0,2,Media,481.25,154000.0,59.18524212144504,154000.0,Luxury,160.41666666666666,19.72841404048168
LAMBORGHINI,AVENTADOR S,V12,"6,498 cc",740 hp,350 km/h,2.9 sec,"$421,000 ",Petrol,2,690 Nm,6498.0,Extra Large,740,Very High Power,421000.0,2,Media,568.918918918919,210500.0,64.78916589719914,210500.0,Luxury,189.63963963963963,21.596388632399712
LAMBORGHINI,HURACAN EVO SPYDER,V10,"5,204 cc",640 hp,325 km/h,3.1 sec,"$287,000 ",Petrol,2,600 Nm,5204.0,Extra Large,640,Very High Power,287000.0,2,Media,448.4375,143500.0,55.14988470407379,143500.0,Luxury,149.47916666666666,18.383294901357928
LAMBORGHINI,URUS PERFORMANTE,V8,"3,996 cc",641 hp,305 km/h,3.3 sec,"$242,000 ",Petrol,5,850 Nm,3996.0,Extra Large,641,Very High Power,242000.0,5,Alta,377.53510140405615,48400.0,60.56056056056056,80666.66666666667,Luxury,125.84503380135206,20.186853520186855
LAMBORGHINI,AVENTADOR ULTIMAE,V12,"6,498 cc",769 hp,355 km/h,2.8 sec,"$545,000 ",Petrol,2,720 Nm,6498.0,Extra Large,769,Very High Power,545000.0,2,Media,708.7126137841352,272500.0,83.87196060326254,272500.0,Luxury,236.23753792804507,27.957320201087516
LAMBORGHINI,HURACAN EVO RWD,V10,"5,204 cc",610 hp,325 km/h,3.3 sec,"$258,000 ",Petrol,2,560 Nm,5204.0,Extra Large,610,Very High Power,258000.0,2,Media,422.95081967213116,129000.0,49.57724827056111,129000.0,Luxury,140.98360655737704,16.52574942352037
LAMBORGHINI,AVENTADOR SVJ ROADSTER,V12,"6,498 cc",759 hp,350 km/h,2.9 sec,"$573,000 ",Petrol,2,720 Nm,6498.0,Extra Large,759,Very High Power,573000.0,2,Media,754.9407114624506,286500.0,88.18097876269621,286500.0,Luxury,251.64690382081687,29.393659587565406
LAMBORGHINI,URUS S,V8,"3,996 cc",671 hp,305 km/h,3.3 sec,"$263,000 ",Petrol,5,850 Nm,3996.0,Extra Large,671,Very High Power,263000.0,5,Alta,391.95230998509686,52600.0,65.81581581581581,87666.66666666667,Luxury,130.65076999503228,21.938605271938606
LAMBORGHINI,HURACAN STO,V10,"5,204 cc",640 hp,325 km/h,3.0 sec,"$327,000 ",Petrol,2,565 Nm,5204.0,Extra Large,640,Very High Power,327000.0,2,Media,510.9375,163500.0,62.836279784780935,163500.0,Luxury,170.3125,20.94542659492698
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,V12,"6,498 cc",769 hp,355 km/h,2.8 sec,"$545,000 ",Petrol,2,720 Nm,6498.0,Extra Large,769,Very High Power,545000.0,2,Media,708.7126137841352,272500.0,83.87196060326254,272500.0,Luxury,236.23753792804507,27.957320201087516
LAMBORGHINI,HURACAN EVO RWD SPYDER,V10,"5,204 cc",610 hp,325 km/h,3.3 sec,"$273,000 ",Petrol,2,600 Nm,5204.0,Extra Large,610,Very High Power,273000.0,2,Media,447.5409836065574,136500.0,52.459646425826286,136500.0,Luxury,149.18032786885246,17.486548808608763
LAMBORGHINI,AVENTADOR SVJ XAGO,V12,"6,498 cc",759 hp,350 km/h,2.9 sec,"$603,000 ",Petrol,2,720 Nm,6498.0,Extra Large,759,Very High Power,603000.0,2,Media,794.4664031620554,301500.0,92.797783933518,301500.0,Luxury,264.82213438735175,30.932594644506
LAMBORGHINI,URUS GRAPHITE CAPSULE,V8,"3,998 cc",641 hp,305 km/h,3.3 sec,"$253,000 ",Petrol,5,850 Nm,3998.0,Extra Large,641,Very High Power,253000.0,5,Alta,394.69578783151326,50600.0,63.2816408204102,84333.33333333333,Luxury,131.56526261050442,21.09388027347007
LAMBORGHINI,HURACAN STO EVO,V10,"5,204 cc",640 hp,325 km/h,3.0 sec,"$342,000 ",Petrol,2,565 Nm,5204.0,Extra Large,640,Very High Power,342000.0,2,Media,534.375,171000.0,65.71867794004612,171000.0,Luxury,178.125,21.90622598001537
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,"6,498 cc",769 hp,355 km/h,2.8 sec,"$573,000 ",Petrol,2,720 Nm,6498.0,Extra Large,769,Very High Power,573000.0,2,Media,745.1235370611183,286500.0,88.18097876269621,286500.0,Luxury,248.3745123537061,29.393659587565406
BMW,M5 CS,V8,"4,395 cc",627 hp,305 km/h,3.0 sec,"$142,000 ",Petrol,5,750 Nm,4395.0,Extra Large,627,Very High Power,142000.0,5,Media,226.47527910685807,28400.0,32.3094425483504,71000.0,Premium,113.23763955342903,16.1547212741752
BMW,M4 GTS,I6,"2,993 cc",493 hp,305 km/h,3.7 sec,"$133,000 ",Petrol,4,600 Nm,2993.0,Extra Large,493,Very High Power,133000.0,4,Alta,269.7768762677485,33250.0,44.43701971266288,44333.333333333336,Premium,134.88843813387425,22.21850985633144
BMW,M3 COMPETITION,I6,"2,993 cc",503 hp,285 km/h,3.5 sec,"$76,000 ",Petrol,5,650 Nm,2993.0,Extra Large,503,Very High Power,76000.0,5,Alta,151.0934393638171,15200.0,25.392582692950217,25333.333333333332,Premium,75.54671968190856,12.696291346475109
BMW,M2 CS,I6,"2,993 cc",444 hp,280 km/h,4.0 sec,"$83,000 ",Petrol,4,550 Nm,2993.0,Extra Large,444,Very High Power,83000.0,4,Media,186.93693693693695,20750.0,27.731373204143,41500.0,Premium,93.46846846846847,13.8656866020715
BMW,X5 M COMPETITION,V8,"4,935 cc",523 hp,285 km/h,4.1 sec,"$114,000 ",Petrol,5,750 Nm,4935.0,Extra Large,523,Very High Power,114000.0,5,Media,217.97323135755258,22800.0,23.10030395136778,57000.0,Premium,108.98661567877629,11.55015197568389
BMW,X3 M COMPETITION,I6,"2,993 cc",503 hp,285 km/h,4.1 sec,"$69,000 ",Petrol,5,650 Nm,2993.0,Extra Large,503,Very High Power,69000.0,5,Alta,137.1769383697813,13800.0,23.053792181757434,23000.0,Premium,68.58846918489066,11.526896090878717
BMW,M8 GRAN COUPE,V8,"4,395 cc",523 hp,305 km/h,3.3 sec,"$146,000 ",Petrol,5,750 Nm,4395.0,Extra Large,523,Very High Power,146000.0,5,Media,279.1586998087954,29200.0,33.219567690557454,73000.0,Premium,139.5793499043977,16.609783845278727
BMW,M850i DRIVE COUPE,V8,"4,935 cc",523 hp,285 km/h,3.7 sec,"$108,000 ",Petrol,4,750 Nm,4935.0,Extra Large,523,Very High Power,108000.0,4,Media,206.50095602294456,27000.0,21.88449848024316,54000.0,Premium,103.25047801147228,10.94224924012158
AUDI,R8 V10 PLUS,V10,"5,204 cc",610 hp,330 km/h,3.2 sec,"$194,000 ",Petrol,2,560 Nm,5204.0,Extra Large,610,Very High Power,194000.0,2,Media,318.0327868852459,97000.0,37.27901614142967,97000.0,Premium,159.01639344262296,18.639508070714836
AUDI,RS7 SPORTBACK,V8,"3,993 cc",591 hp,305 km/h,3.6 sec,"$114,000 ",Petrol,5,800 Nm,3993.0,Extra Large,591,Very High Power,114000.0,5,Media,192.89340101522842,22800.0,28.549962434259953,57000.0,Premium,96.44670050761421,14.274981217129977
AUDI,S8,V8,"3,993 cc",563 hp,305 km/h,4.3 sec,"$101,000 ",Petrol,5,800 Nm,3993.0,Extra Large,563,Very High Power,101000.0,5,Media,179.39609236234458,20200.0,25.29426496368645,50500.0,Premium,89.69804618117229,12.647132481843226
AUDI,RS6 AVANT,V8,"3,993 cc",591 hp,305 km/h,3.6 sec,"$109,000 ",Petrol,5,800 Nm,3993.0,Extra Large,591,Very High Power,109000.0,5,Media,184.4331641285956,21800.0,27.297771099423993,54500.0,Premium,92.2165820642978,13.648885549711997
AUDI,S7 SPORTBACK,V8,"3,993 cc",563 hp,305 km/h,4.3 sec,"$96,000 ",Petrol,5,650 Nm,3993.0,Extra Large,563,Very High Power,96000.0,5,Media,170.5150976909414,19200.0,24.04207362885049,48000.0,Premium,85.2575488454707,12.021036814425244
AUDI,A8,V6,"2,995 cc",335 hp,250 km/h,5.7 sec,"$86,000 ",Petrol,5,600 Nm,2995.0,Extra Large,335,Very High Power,86000.0,5,Media,256.7164179104478,17200.0,28.714524207011685,43000.0,Premium,128.3582089552239,14.357262103505843
AUDI,S5 COUPE,V6,"2,995 cc",349 hp,250 km/h,4.8 sec,"$64,000 ",Petrol,4,500 Nm,2995.0,Extra Large,349,Very High Power,64000.0,4,Media,183.3810888252149,16000.0,21.368948247078464,32000.0,Premium,91.69054441260745,10.684474123539232
AUDI,SQ5,V6,"2,995 cc",349 hp,250 km/h,5.4 sec,"$62,000 ",Petrol,5,500 Nm,2995.0,Extra Large,349,Very High Power,62000.0,5,Media,177.65042979942695,12400.0,20.70116861435726,31000.0,Premium,88.82521489971347,10.35058430717863
AUDI,S4 SEDAN,V6,"2,995 cc",349 hp,250 km/h,4.7 sec,"$59,000 ",Petrol,5,500 Nm,2995.0,Extra Large,349,Very High Power,59000.0,5,Media,169.054441260745,11800.0,19.69949916527546,29500.0,Premium,84.5272206303725,9.84974958263773
AUDI,S3 SEDAN,I4,"1,984 cc",306 hp,250 km/h,4.8 sec,"$52,000 ",Petrol,5,400 Nm,1984.0,Large,306,Very High Power,52000.0,5,Alta,169.9346405228758,10400.0,26.20967741935484,17333.333333333332,Premium,84.9673202614379,13.10483870967742
AUDI,Q7,V6,"2,995 cc",335 hp,250 km/h,6.3 sec,"$60,000 ",Petrol,7,600 Nm,2995.0,Extra Large,335,Very High Power,60000.0,7,Media,179.1044776119403,8571.42857142857,20.03338898163606,30000.0,Premium,89.55223880597015,10.01669449081803
AUDI,Q5,I4,"1,984 cc",248 hp,240 km/h,6.3 sec,"$43,000 ",Petrol,5,500 Nm,1984.0,Large,248,High Power,43000.0,5,Media,173.38709677419354,8600.0,21.673387096774192,21500.0,Premium,86.69354838709677,10.836693548387096
AUDI,A7,V6,"2,995 cc",335 hp,250 km/h,5.7 sec,"$68,000 ",Petrol,5,600 Nm,2995.0,Extra Large,335,Very High Power,68000.0,5,Media,202.98507462686567,13600.0,22.70450751252087,34000.0,Premium,101.49253731343283,11.352253756260435
AUDI,A6,V6,"2,995 cc",335 hp,250 km/h,5.7 sec,"$58,000 ",Petrol,5,600 Nm,2995.0,Extra Large,335,Very High Power,58000.0,5,Media,173.13432835820896,11600.0,19.36560934891486,29000.0,Premium,86.56716417910448,9.68280467445743
AUDI,A5 COUPE,I4,"1,984 cc",248 hp,240 km/h,6.3 sec,"$45,000 ",Petrol,4,500 Nm,1984.0,Large,248,High Power,45000.0,4,Media,181.4516129032258,11250.0,22.681451612903224,22500.0,Premium,90.7258064516129,11.340725806451612
AUDI,A4,I4,"1,984 cc",248 hp,240 km/h,6.5 sec,"$39,000 ",Petrol,5,400 Nm,1984.0,Large,248,High Power,39000.0,5,Media,157.25806451612902,7800.0,19.657258064516128,19500.0,Premium,78.62903225806451,9.828629032258064
AUDI,Q3,I4,"1,984 cc",248 hp,230 km/h,7.3 sec,"$35,000 ",Petrol,5,400 Nm,1984.0,Large,248,High Power,35000.0,5,Media,141.1290322580645,7000.0,17.641129032258064,17500.0,Premium,70.56451612903226,8.820564516129032
AUDI,E-TRON,ELECTRIC ,95 kwh,402 hp,200 km/h,5.5 sec,"$75,000 ",Electric,5,664 Nm,95.0,Small,402,Very High Power,75000.0,5,Alta,186.56716417910448,15000.0,789.4736842105264,25000.0,Premium,93.28358208955224,394.7368421052632
AUDI,E-TRON SPORTBACK,ELECTRIC,95 kwh,402 hp,200 km/h,5.5 sec,"$78,000 ",Electric,5,664 Nm,95.0,Small,402,Very High Power,78000.0,5,Alta,194.02985074626866,15600.0,821.0526315789474,26000.0,Premium,97.01492537313433,410.5263157894737
AUDI,TT COUPE,I4,"1,984 cc",248 hp,250 km/h,5.3 sec,"$49,000 ",Petrol,2,400 Nm,1984.0,Large,248,High Power,49000.0,2,Media,197.58064516129033,24500.0,24.697580645161292,24500.0,Premium,98.79032258064517,12.348790322580646
BMW,I8 ROADSTER,ELECTRIC MOTOR,11.6 kwh,369 hp,250 km/h,4.4 sec,"$165,000 ",Hybrid,2,570 Nm,11.6,Small,369,Very High Power,165000.0,2,Alta,447.1544715447154,82500.0,14224.137931034484,55000.0,Premium,223.5772357723577,7112.068965517242
BMW,330i,I4,"1,998 cc",255 hp,250 km/h,5.6 sec,"$45,000 ",Petrol,5,400 Nm,1998.0,Large,255,High Power,45000.0,5,Media,176.47058823529412,9000.0,22.52252252252252,22500.0,Premium,88.23529411764706,11.26126126126126
BMW,M340i XDRIVE,I6,"2,998 cc",382 hp,250 km/h,4.1 sec,"$57,000 ",Petrol,5,500 Nm,2998.0,Extra Large,382,Very High Power,57000.0,5,Media,149.21465968586386,11400.0,19.012675116744497,28500.0,Premium,74.60732984293193,9.506337558372248
BMW,430i COUPE,I4,"1,998 cc",255 hp,250 km/h,5.8 sec,"$48,000 ",Petrol,4,400 Nm,1998.0,Large,255,High Power,48000.0,4,Media,188.23529411764707,12000.0,24.024024024024023,24000.0,Premium,94.11764705882354,12.012012012012011
BMW,M4 COMPETITION,I6,"2,993 cc",503 hp,290 km/h,3.8 sec,"$81,000 ",Petrol,4,650 Nm,2993.0,Extra Large,503,Very High Power,81000.0,4,Alta,161.0337972166998,20250.0,27.063147343802203,27000.0,Premium,80.5168986083499,13.531573671901102
